"Fort Albany and Kashechewan First Nation [First Nation/Indian band or Tribal Council area], Ontario (Total - Sex) (Total - Age groups)"
"Topic","Characteristics","Note","Total_Aboriginal_identity(1)","Flag_Total_Aboriginal_identity","Aboriginal_identity(2)","Flag_Aboriginal_identity","Single_Aboriginal_responses(3)","Flag_Single_Aboriginal_responses","First_Nations(4)","Flag_First_Nations","Métis","Flag_Métis","Inuk (Inuit)","Flag_Inuk","Multiple_Aboriginal_responses(5)","Flag_Multiple_Aboriginal_responses","Aboriginal_responses_nie(6)","Flag_Aboriginal_responses_nie","Non-Aboriginal_identity","Flag_Non-Aboriginal_identity"
"Average age and median age","Total - Average age and median age for the population in private households - 25% sample data",,2160,,2115,,2110,,2110,,0,,0,,0,,0,,50,
"Average age and median age","  Average age",,25.9,,25.9,,25.9,,25.9,,0,,0,,0,,0,,27.2,
"Average age and median age","  Median age",,21.9,,21.6,,21.6,,21.6,,0,,0,,0,,0,,26.4,
"Marital status","Total - Marital status for the population aged 15 years and over in private households - 25% sample data",7,1395,,1355,,1355,,1355,,0,,0,,0,,0,,40,
"Marital status","  Married or living common law",,620,,595,,600,,600,,0,,0,,0,,0,,25,
"Marital status","    Married",,380,,365,,365,,365,,0,,0,,0,,0,,15,
"Marital status","    Living common law",,240,,235,,230,,230,,0,,0,,0,,0,,10,
"Marital status","  Not married and not living common law",,770,,755,,760,,755,,0,,0,,0,,0,,15,
"Marital status","    Never married",,660,,645,,650,,650,,0,,0,,0,,0,,10,
"Marital status","    Separated",,55,,55,,55,,55,,0,,0,,0,,0,,0,
"Marital status","    Divorced",,15,,15,,15,,15,,0,,0,,0,,0,,0,
"Marital status","    Widowed",,45,,40,,40,,40,,0,,0,,0,,0,,10,
"Family characteristics","Total - Family characteristics for the population in private households - 25% sample data",8,2165,,2115,,2115,,2110,,0,,0,,0,,0,,50,
"Family characteristics","  Married spouses and common-law partners",,595,,580,,580,,580,,0,,0,,0,,0,,20,
"Family characteristics","    Married spouses",,360,,350,,345,,345,,0,,0,,0,,0,,15,
"Family characteristics","    Common-law partners",,240,,230,,235,,235,,0,,0,,0,,0,,10,
"Family characteristics","  Lone parents (in lone-parent census families)",,195,,195,,195,,195,,0,,0,,0,,0,,0,
"Family characteristics","  Children in census families (as in sons, daughters or grandchildren)",,1125,,1115,,1115,,1110,,0,,0,,0,,0,,10,
"Family characteristics","    Living with two biological or adoptive parents",9,555,,545,,545,,550,,0,,0,,0,,0,,10,
"Family characteristics","      In an intact family",10,465,,455,,455,,455,,0,,0,,0,,0,,10,
"Family characteristics","      In a complex stepfamily",11,90,,95,,95,,95,,0,,0,,0,,0,,0,
"Family characteristics","    Living with one biological or adoptive parent and one step-parent",,120,,125,,120,,120,,0,,0,,0,,0,,0,
"Family characteristics","      In a simple stepfamily",12,30,,30,,30,,30,,0,,0,,0,,0,,0,
"Family characteristics","      In a complex stepfamily",13,90,,95,,90,,90,,0,,0,,0,,0,,0,
